ID	Pergunta	Alternativa A	Alternativa B	Alternativa C	Alternativa D	Resposta Correta	Dica	Dificuldade
1	Quais são os quatro pilares fundamentais, conhecidos como os '4 Ps', que sustentam a Aprendizagem Criativa segundo Mitchel Resnick?	Projetos, Paixão, Pares e Pensar Brincando.	Pesquisa, Planejamento, Prática e Performance.	Programação, Prototipagem, Pensamento Crítico e Paciência.	Palestras, Problemas, Provas e Prêmios.	Alternativa A	Considere os termos em inglês: Projects, Passion, Peers e Play.	Fácil
2	No contexto da Aprendizagem Criativa, como o conceito de 'Pensar Brincando' (Play) é definido?	A execução de atividades recreativas após o término das tarefas obrigatórias.	Um processo de experimentação, exploração e assunção de riscos constantes.	O uso estrito de jogos digitais educativos com sistemas de pontuação.	A ausência de regras ou estruturas em qualquer atividade pedagógica.	Alternativa B	Reforce a ideia de que o brincar é uma forma de investigar o mundo.	Média
3	A 'Espiral da Aprendizagem Criativa' é um processo iterativo. Qual é a sequência correta de suas etapas?	Imaginar, Criar, Brincar, Compartilhar, Refletir e Imaginar novamente.	Ler, Memorizar, Testar, Corrigir e Finalizar.	Planejar, Executar, Avaliar e Arquivar.	Escutar, Copiar, Praticar e Demonstrar.	Alternativa A	O processo começa com a idealização e retorna ao mesmo ponto de forma enriquecida.	Fácil
4	O princípio de design 'Pisos Baixos, Tetos Altos e Paredes Amplas' visa garantir o quê em uma atividade?	Baixo custo de materiais, alta tecnologia e espaços físicos grandes.	Facilidade para começar, complexidade para avançar e diversidade de caminhos.	Ambientes seguros contra quedas e com ventilação adequada.	Atividades curtas, resultados padronizados e foco em uma única habilidade.	Alternativa B	Pense na acessibilidade para iniciantes e nas possibilidades para especialistas.	Média
5	Qual é a principal influência teórica da Aprendizagem Criativa, baseada na ideia de que se aprende melhor ao construir objetos de valor pessoal?	Behaviorismo de B.F. Skinner.	Construcionismo de Seymour Papert.	Instrucionismo clássico.	Aprendizagem baseada apenas em repetição.	Alternativa B	Lembre-se do mentor de Mitchel Resnick e pioneiro da linguagem Logo.	Média
6	Por que o pilar 'Paixão' é considerado essencial na Aprendizagem Criativa?	Para garantir que o aluno esteja sempre feliz e sem frustrações.	Porque as pessoas trabalham por mais tempo e com mais afinco em temas que lhes interessam.	Como uma forma de entretenimento para evitar o tédio das aulas teóricas.	Para que o professor não precise preparar conteúdos difíceis.	Alternativa B	Pense na relação entre motivação intrínseca e persistência.	Fácil
7	Qual é o papel esperado de um facilitador em um ambiente de Aprendizagem Criativa?	Fornecer todas as respostas corretas assim que o aluno encontrar um erro.	Atuar como um consultor e colaborador, apoiando a exploração dos alunos.	Garantir que todos os alunos cheguem ao mesmo resultado final ao mesmo tempo.	Apenas observar os alunos sem intervir em nenhum momento.	Alternativa B	O termo sugere tornar o processo de aprendizagem mais fluido, não direcioná-lo rigidamente.	Fácil
8	O termo 'Hard Fun' (Diversão Difícil), cunhado por Seymour Papert, descreve qual situação?	Uma atividade que é tão difícil que deixa de ser divertida.	O prazer derivado de enfrentar e superar desafios intelectuais significativos.	O uso de videogames que possuem níveis de dificuldade impossíveis.	Um método de punição para alunos que não completam as tarefas.	Alternativa B	Relacione o esforço cognitivo com a satisfação da descoberta.	Média
9	Ao trabalhar com 'Pares' (Peers), qual é o benefício mais relevante para a Aprendizagem Criativa?	Dividir o trabalho para que cada um faça menos esforço.	Aprender através do ensino, da crítica construtiva e da troca de ideias.	Permitir que apenas um aluno lidere enquanto os outros observam.	Criar uma competição para ver quem termina o projeto primeiro.	Alternativa B	Foque no aspecto de comunidade e construção social do conhecimento.	Fácil
10	Como a cultura do 'erro' é tratada em atividades de Aprendizagem Criativa?	Como uma falha que deve ser penalizada na avaliação final.	Como uma oportunidade de 'debug' (depuração) e reflexão sobre o processo.	Deve ser evitada a todo custo através de instruções passo a passo.	O erro é ignorado, pois o que importa é apenas a intenção do aluno.	Alternativa B	Utilize um termo comum na programação para descrever o ajuste de problemas.	Fácil
