ID	Pergunta	Alternativa A	Alternativa B	Alternativa C	Alternativa D	Resposta Correta	Dica	Dificuldade
1	Segundo Mitchel Resnick, qual é o argumento central para estender a abordagem do Jardim de Infância para todos os níveis educacionais?	O modelo de exploração tátil, iteração e construção colaborativa com blocos é o método mais eficaz para desenvolver o pensamento criativo exigido pela sociedade atual.	O currículo do jardim de infância foca na alfabetização digital precoce, o que prepara os alunos para o mercado de trabalho industrial.	A abordagem reduz os custos operacionais das escolas, eliminando a necessidade de professores especialistas em disciplinas exatas.	O modelo foca estritamente na disciplina e no silêncio, garantindo o aumento das notas em testes padronizados nacionais.	Alternativa A	Considere como a dinâmica de criar torres de blocos e ajustar o design se aplica a problemas complexos.	Média
2	No livro, Resnick categoriza os pensadores necessários para o século XXI. O que caracteriza os "Pensadores X" (X-Thinkers)?	São indivíduos inovadores e adaptáveis, capazes de pensar de forma criativa e sistêmica para lidar com situações inéditas e ambientes em constante mudança.	São especialistas focados exclusivamente em habilidades matemáticas avançadas para o desenvolvimento de inteligência artificial de código fechado.	São alunos que obtêm as notas mais altas em exames padronizados baseados em memorização de fatos históricos estáticos.	São profissionais treinados para executar instruções lineares sequenciais com alta velocidade e precisão em linhas de montagem industriais.	Alternativa A	Relacione a letra 'X' com a capacidade de cruzar fronteiras de conhecimento e inovar.	Média
3	Qual é a principal crítica que o autor faz à tendência de introduzir o currículo do ensino fundamental (focado em letras e números) no jardim de infância?	Transforma o jardim de infância em um ambiente de instrução transmissiva, sufocando o desenvolvimento da criatividade e do pensamento exploratório natural da criança.	Acelera excessivamente o aprendizado de programação avançada, causando sobrecarga cognitiva em crianças com menos de sete anos.	Exige a aquisição de computadores de alto custo, desviando recursos que deveriam ser aplicados na alimentação escolar.	Garante que as crianças percam o interesse pelas artes plásticas, uma vez que o foco passa a ser exclusivamente o ensino de matemática discreta.	Alternativa A	O autor defende que o resto da escola deveria se parecer com o jardim de infância, e não o inverso.	Fácil
4	Como a "Espiral da Aprendizagem Criativa" descreve o ciclo ideal de construção do conhecimento?	Um processo iterativo que passa por Imaginar, Criar, Brincar, Compartilhar e Refletir, gerando novas ideias que reiniciam o ciclo em um nível mais profundo.	Um método linear de planejamento rigoroso, execução mecânica e avaliação somativa através de testes de múltipla escolha fechados.	Uma rotina estrita de leitura passiva de documentação técnica, seguida de cópia exata de algoritmos desenvolvidos pelo professor.	Um fluxo de trabalho focado unicamente na estética visual do projeto, ignorando a estruturação lógica e a matemática subjacente.	Alternativa A	O ciclo começa com a concepção mental, passa pela materialização e pela análise social, retornando à ideação.	Fácil
5	O autor contrasta a "Resolução de Problemas" (Problem-Solving) com a "Criação de Projetos" (Project-Making). Qual é o benefício metodológico da criação de projetos?	Os projetos englobam a resolução de problemas em um contexto de intencionalidade, permitindo que o aluno também exercite a identificação e formulação de problemas (problem-finding).	A criação de projetos dispensa o uso do pensamento analítico, permitindo que os alunos foquem unicamente em atividades manuais de baixo esforço cognitivo.	A resolução de problemas é um conceito aplicável apenas à matemática, enquanto a criação de projetos é estritamente aplicável às artes cênicas.	Projetos garantem que todos os alunos de uma classe entreguem um resultado idêntico, facilitando a atribuição de notas métricas pela coordenação.	Alternativa A	Resolver exige encontrar uma resposta; criar exige definir qual é a pergunta e construir a solução.	Difícil
6	O que a metáfora do "Cercadinho" (Playpen) versus "Parque de Diversões" (Playground) ilustra sobre o design de tecnologias educacionais no livro?	O cercadinho representa ambientes restritivos que limitam a agência do usuário a opções predefinidas, enquanto o parque permite exploração aberta, autoria e assunção de riscos criativos.	O cercadinho é recomendado para o ensino médio por garantir a segurança dos dados, enquanto o parque é exclusivo para a educação infantil lúdica e desestruturada.	Parques de diversões são ambientes focados em testes somativos e ranqueamento de alunos, enquanto cercadinhos promovem a colaboração assíncrona global.	Não há distinção; ambos são exemplos de softwares focados em instrucionismo direto e hipermemorização de matrizes lógicas teóricas.	Alternativa A	Avalie a diferença entre um espaço que confina o movimento e um espaço que convida à invenção livre.	Média
7	Ao discutir o pilar "Paixão" (Passion), Resnick argumenta que o principal combustível para o aprendizado profundo é:	A conexão intrínseca do projeto com os interesses pessoais do aprendiz, o que sustenta o engajamento e a resiliência perante o "Hard Fun" (diversão difícil).	O sistema de bonificação financeira oferecido pelas escolas estatais para os alunos que concluem os projetos no menor intervalo de tempo cronometrado.	A cobrança rigorosa exercida pelos pais e professores para que o estudante atinja o primeiro lugar no ranking de notas da turma escolar.	A adoção de narrativas comerciais de videogames populares para disfarçar o ensino de repetição mecanicista de tabuadas aritméticas elementares.	Alternativa A	O esforço necessário para superar bugs complexos exige uma motivação interna genuína, não apenas pressão externa.	Fácil
8	A abordagem do "Tinkering" (pensar com as mãos) é validada no livro como um estilo cognitivo eficiente. Como ele se diferencia do planejamento "Top-Down"?	O Tinkering é um processo iterativo (bottom-up) onde o aprendiz explora materiais, reage ao feedback empírico e ajusta o projeto em tempo real, em oposição à exigência de um plano formal completo prévio.	O Tinkering é um método de estruturação de banco de dados corporativo, enquanto o Top-Down é utilizado exclusivamente para design de interfaces gráficas estáticas.	O Tinkering requer que o aluno trabalhe em total silêncio e isolamento, enquanto o Top-Down é o único método que permite a colaboração verbal em grupo.	O planejamento Top-Down admite o erro e a experimentação aleatória, enquanto o Tinkering exige precisão matemática absoluta desde a primeira linha de código.	Alternativa A	Contraste o arquiteto que desenha a planta completa antes de construir com o artesão que molda a obra interagindo com o material.	Difícil
9	No contexto do design do Scratch, o princípio de "Paredes Amplas" (Wide Walls) foi implementado para garantir o quê?	Que a plataforma acomode e suporte uma ampla diversidade de interesses e perfis de usuários, permitindo a criação de jogos, histórias animadas, arte e simulações na mesma interface.	Que o software opere exclusivamente em monitores de grande escala física, impedindo o uso em dispositivos móveis ou tablets educacionais compactos.	Que o sistema exija conhecimentos de geometria avançada para o cálculo de colisão entre os personagens vetoriais desenhados na tela gráfica de execução.	Que os projetos criados sejam obrigatoriamente padronizados para facilitar a comercialização dos códigos em mercados corporativos de software aberto.	Alternativa A	A ferramenta não deve ditar o estilo de expressão; ela deve ser versátil o suficiente para abraçar múltiplas rotas criativas.	Média
10	Resnick refuta a divisão estrita entre a aprendizagem focada em "Artes" e a focada em "Lógica/Tecnologia" (STEM). Qual é o seu argumento central?	A tecnologia atua como um novo material expressivo plástico ("tinta e pincel"); projetos criativos significativos exigem a integração indissociável entre o rigor lógico e a intencionalidade estética ou narrativa.	O ensino de artes deve ser completamente digitalizado, proibindo o uso de tintas, argila e instrumentos acústicos nas escolas para forçar a alfabetização em computadores.	A lógica computacional é inata e deve ser ensinada isoladamente, enquanto as artes requerem a presença de professores externos especializados em design industrial.	A integração dessas áreas encarece demasiadamente o orçamento escolar, devendo ser substituída por plataformas automatizadas de ditado e correção gramatical ortográfica.	Alternativa A	A codificação não é apenas uma ferramenta de cálculo, mas um meio de comunicação e expressão de ideias complexas e subjetivas.	Média
